2018-03-27 10:35:06 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-03-27 10:35:06 EXEC SPC_GET_CONSTANT '';
2018-03-27 10:39:59 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-27 10:39:59 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-27 10:57:39 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-27 10:57:39 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-27 10:57:43 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-27 10:57:43 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-27 10:57:46 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-27 10:57:48 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000115';
2018-03-27 10:57:58 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-27 10:57:59 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-27 10:58:05 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-27 10:58:08 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000115';
2018-03-27 11:04:07 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000114';
2018-03-27 11:15:14 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-27 11:15:14 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-27 11:15:38 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-27 11:15:38 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-27 11:15:47 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-27 11:15:47 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-27 11:16:19 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-27 11:16:19 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-27 11:16:22 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-27 11:16:22 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-27 11:16:25 EXEC SPC_049_INPUT_OUTPUT_FND1 '','','','','','','','1','10';
2018-03-27 11:16:27 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'NY201803230001';
2018-03-27 11:29:07 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','NY201803230001','2','2018/03/23','00','so0004','備考 備考 備考','[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"10","in_out_qty":"10","detail_remarks":"\u5099\u8003"},{"in_out_detail_no":"2","item_cd":"000115","serial_no":"20","in_out_qty":"20","detail_remarks":"\u5099\u8003"}]','001','048_input_output_detail','192.168.5.206';
2018-03-27 11:29:08 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'NY201803230001';
2018-03-27 11:29:42 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','NY201803230001','2','2018/03/23','00','so0004','備考 備考 備考','[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"10","in_out_qty":"10","detail_remarks":"\u5099\u8003"},{"in_out_detail_no":"2","item_cd":"000115","serial_no":"20","in_out_qty":"20","detail_remarks":"\u5099\u8003"}]','001','048_input_output_detail','192.168.5.206';
2018-03-27 11:29:43 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'NY201803230001';
2018-03-27 11:32:27 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','NY201803230001','2','2018/03/23','00','so0004','備考 備考 備考','[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"10","in_out_qty":"10","detail_remarks":"\u5099\u8003"},{"in_out_detail_no":"2","item_cd":"000115","serial_no":"20","in_out_qty":"20","detail_remarks":"\u5099\u8003"}]','001','048_input_output_detail','192.168.5.206';
2018-03-27 11:32:28 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'NY201803230001';
2018-03-27 11:32:41 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','NY201803230001','2','2018/03/23','00','so0004','備考 備考 備考','[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"10","in_out_qty":"10","detail_remarks":"\u5099\u8003 \u5099\u8003"},{"in_out_detail_no":"2","item_cd":"000115","serial_no":"20","in_out_qty":"20","detail_remarks":"\u5099\u8003 \u5099\u8003"}]','001','048_input_output_detail','192.168.5.206';
2018-03-27 11:32:42 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'NY201803230001';
2018-03-27 11:36:40 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
