2018-03-02 10:40:16 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-03-02 10:40:16 EXEC SPC_GET_CONSTANT '';
2018-03-02 10:45:13 EXEC SPC_COM_GET_COMBOBOX 'buy_status_div';
2018-03-02 10:45:15 EXEC SPC_032_PURCHASE_REQUEST_SEARCH_FND1 '','','','','','','','1','10';
2018-03-02 10:45:18 EXEC SPC_GET_CONSTANT '';
2018-03-02 10:45:19 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010001","buy_status_div":"20"},{"buy_no":"KI201803010001","buy_status_div":"20"},{"buy_no":"KI201803010002","buy_status_div":"10"},{"buy_no":"KI201803010003","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 10:48:15 EXEC SPC_GET_TAX_RATE '2018/03/02';
2018-03-02 10:51:37 EXEC SPC_055_SUPPLIERS_MASTER_SEARCH_FND1 '','','','','','','0','0','0','1','10';
2018-03-02 10:51:39 EXEC SPC_REFER_CLIENT_CD '1111';
2018-03-02 10:51:43 EXEC SPC_069_COMPONENT_MASTER_SEARCH_FND1 '','','','1','10';
2018-03-02 10:51:45 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ2 '20502','1111';
2018-03-02 10:52:03 EXEC SPC_GET_TAX_RATE '2018/03/01';
2018-03-02 10:52:06 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_ACT1 'I','','10','2018/03/01','1111','仕入先担当者名','件名','2018/03/17','備考','[{"buy_detail_no":"1","parts_cd":"20502","buy_qty":"3333","buy_unit_price":"3.33","buy_detail_amt":"11098.89","buy_detail_tax":"133.19","detail_remarks":"\t\u5099\u8003"}]','11098.89','133.19','133','11231.89','001','031_purchase_request-detail','192.168.5.206';
2018-03-02 10:52:08 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201803020001';
2018-03-02 10:52:08 EXEC SPC_GET_TAX_RATE '2018/03/01';
2018-03-02 11:06:03 EXEC SPC_COM_GET_COMBOBOX 'buy_status_div';
2018-03-02 11:06:03 EXEC SPC_032_PURCHASE_REQUEST_SEARCH_FND1 '','','','','','','','1','10';
2018-03-02 11:06:07 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:06:07 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010001","buy_status_div":"20"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:16:49 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:16:49 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010001","buy_status_div":"20"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:20:59 EXEC SPC_COM_GET_COMBOBOX 'buy_status_div';
2018-03-02 11:21:47 EXEC SPC_032_PURCHASE_REQUEST_SEARCH_FND1 '','','','','','','','1','10';
2018-03-02 11:21:54 EXEC SPC_GET_TAX_RATE '2018/03/02';
2018-03-02 11:21:55 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201803010001';
2018-03-02 11:21:55 EXEC SPC_GET_TAX_RATE '2018/03/01';
2018-03-02 11:21:58 EXEC SPC_COM_GET_COMBOBOX 'buy_status_div';
2018-03-02 11:21:59 EXEC SPC_032_PURCHASE_REQUEST_SEARCH_FND1 '','','','','','','','1','10';
2018-03-02 11:22:05 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:22:05 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010001","buy_status_div":"20"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:22:11 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_ACT2 'KI201803010001','001','031_purchase_request','192.168.5.206';
2018-03-02 11:22:25 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201803010003';
2018-03-02 11:22:25 EXEC SPC_GET_TAX_RATE '2018/03/01';
2018-03-02 11:22:31 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_ACT2 'KI201803010003','001','031_purchase_request','192.168.5.206';
2018-03-02 11:22:36 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:22:36 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:23:04 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:23:04 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:23:10 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:23:10 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:26:41 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:26:41 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:27:11 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:27:11 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:27:24 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:27:24 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:27:45 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:27:45 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:28:38 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:28:38 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:29:57 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:29:57 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:30:17 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:30:17 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:31:39 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:31:39 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:31:56 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:31:56 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:32:21 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:32:21 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:34:12 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:34:12 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:34:28 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:34:28 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:34:32 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:34:32 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:35:02 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:35:02 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:35:06 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:35:06 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:36:17 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:36:17 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010003","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:36:27 EXEC SPC_GET_CONSTANT '';
2018-03-02 11:36:27 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 '[{"buy_no":"KI201803010001","buy_status_div":"20"},{"buy_no":"KI201803010003","buy_status_div":"10"},{"buy_no":"KI201803010005","buy_status_div":"10"}]','001','032_purchase_request-search','192.168.5.206';
2018-03-02 11:36:33 EXEC SPC_GET_CONSTANT '';
